1,Alabama,4858979
2,Alaska,738432
4,Arizona,6828065
5,Arkansas,2978204
6,California,39144818
8,Colorado,5456574
9,Connecticut,3590886
10,Delaware,945934
11,District of Columbia,672228
12,Florida,20271272
13,Georgia,10214860
15,Hawaii,1431603
16,Idaho,1654930
17,Illinois,12859995
18,Indiana,6619680
19,Iowa,3123899
20,Kansas,2911641
21,Kentucky,4425092
22,Louisiana,4670724
23,Maine,1329328
24,Maryland,6006401
25,Massachusetts,6794422
26,Michigan,9922576
27,Minnesota,5489594
28,Mississippi,2992333
29,Missouri,6083672
30,Montana,1032949
31,Nebraska,1896190
32,Nevada,2890845
33,New Hampshire,1330608
34,New Jersey,8958013
35,New Mexico,2085109
36,New York,19795791
37,North Carolina,10042802
38,North Dakota,756927
39,Ohio,11613423
40,Oklahoma,3911338
41,Oregon,4028977
42,Pennsylvania,12802503
44,Rhode Island,1056298
45,South Carolina,4896146
46,South Dakota,858469
47,Tennessee,6600299
48,Texas,27469114
49,Utah,2995919
50,Vermont,626042
51,Virginia,8382993
53,Washington,7170351
54,West Virginia,1844128
55,Wisconsin,5771337
56,Wyoming,586107
